source,source_name,target,target_name,weight
Monkey_D._Luffy,Monkey D. Luffy,Nami,Nami,762
Monkey_D._Luffy,Monkey D. Luffy,Roronoa_Zoro,Roronoa Zoro,733
Monkey_D._Luffy,Monkey D. Luffy,Sanji,Sanji,712
Monkey_D._Luffy,Monkey D. Luffy,Usopp,Usopp,689
Nami,Nami,Sanji,Sanji,675
Nami,Nami,Roronoa_Zoro,Roronoa Zoro,660
Nami,Nami,Usopp,Usopp,654
Roronoa_Zoro,Roronoa Zoro,Usopp,Usopp,649
Monkey_D._Luffy,Monkey D. Luffy,Tony_Tony_Chopper,Tony Tony Chopper,636
Nami,Nami,Tony_Tony_Chopper,Tony Tony Chopper,628
Roronoa_Zoro,Roronoa Zoro,Sanji,Sanji,615
Sanji,Sanji,Usopp,Usopp,613
Sanji,Sanji,Tony_Tony_Chopper,Tony Tony Chopper,595
Roronoa_Zoro,Roronoa Zoro,Tony_Tony_Chopper,Tony Tony Chopper,553
Tony_Tony_Chopper,Tony Tony Chopper,Usopp,Usopp,549
Monkey_D._Luffy,Monkey D. Luffy,Nico_Robin,Nico Robin,543
Nico_Robin,Nico Robin,Usopp,Usopp,518
Nico_Robin,Nico Robin,Roronoa_Zoro,Roronoa Zoro,511
Nami,Nami,Nico_Robin,Nico Robin,507
Nico_Robin,Nico Robin,Tony_Tony_Chopper,Tony Tony Chopper,492
Nico_Robin,Nico Robin,Sanji,Sanji,476
Franky,Franky,Monkey_D._Luffy,Monkey D. Luffy,429
Franky,Franky,Usopp,Usopp,415
Franky,Franky,Nico_Robin,Nico Robin,402
Franky,Franky,Roronoa_Zoro,Roronoa Zoro,394
Franky,Franky,Nami,Nami,389
Franky,Franky,Sanji,Sanji,383
Franky,Franky,Tony_Tony_Chopper,Tony Tony Chopper,373
Brook,Brook,Monkey_D._Luffy,Monkey D. Luffy,368
Brook,Brook,Nami,Nami,363
Brook,Brook,Tony_Tony_Chopper,Tony Tony Chopper,354
Brook,Brook,Sanji,Sanji,342
Brook,Brook,Usopp,Usopp,320
Brook,Brook,Roronoa_Zoro,Roronoa Zoro,311
Brook,Brook,Nico_Robin,Nico Robin,305
Brook,Brook,Franky,Franky,298
Jinbe,Jinbe,Monkey_D._Luffy,Monkey D. Luffy,251
Jinbe,Jinbe,Nami,Nami,196
Jinbe,Jinbe,Sanji,Sanji,190
Monkey_D._Luffy,Monkey D. Luffy,Trafalgar_D._Water_Law,Trafalgar D. Water Law,190
Jinbe,Jinbe,Tony_Tony_Chopper,Tony Tony Chopper,184
Brook,Brook,Jinbe,Jinbe,176
Jinbe,Jinbe,Usopp,Usopp,175
Jinbe,Jinbe,Roronoa_Zoro,Roronoa Zoro,164
Roronoa_Zoro,Roronoa Zoro,Trafalgar_D._Water_Law,Trafalgar D. Water Law,160
Jinbe,Jinbe,Nico_Robin,Nico Robin,157
Trafalgar_D._Water_Law,Trafalgar D. Water Law,Usopp,Usopp,149
Franky,Franky,Jinbe,Jinbe,148
Kin'emon,Kin'emon,Monkey_D._Luffy,Monkey D. Luffy,145
Kin'emon,Kin'emon,Roronoa_Zoro,Roronoa Zoro,142
Nico_Robin,Nico Robin,Trafalgar_D._Water_Law,Trafalgar D. Water Law,142
Franky,Franky,Trafalgar_D._Water_Law,Trafalgar D. Water Law,136
Kin'emon,Kin'emon,Usopp,Usopp,130
Nami,Nami,Trafalgar_D._Water_Law,Trafalgar D. Water Law,129
Monkey_D._Luffy,Monkey D. Luffy,Nefertari_Vivi,Nefertari Vivi,128
Tony_Tony_Chopper,Tony Tony Chopper,Trafalgar_D._Water_Law,Trafalgar D. Water Law,127
Sanji,Sanji,Trafalgar_D._Water_Law,Trafalgar D. Water Law,126
Kin'emon,Kin'emon,Nico_Robin,Nico Robin,122
Brook,Brook,Trafalgar_D._Water_Law,Trafalgar D. Water Law,117
Franky,Franky,Kin'emon,Kin'emon,117
Nami,Nami,Nefertari_Vivi,Nefertari Vivi,117
Kin'emon,Kin'emon,Trafalgar_D._Water_Law,Trafalgar D. Water Law,115
Kouzuki_Momonosuke,Kouzuki Momonosuke,Monkey_D._Luffy,Monkey D. Luffy,114
Nefertari_Vivi,Nefertari Vivi,Usopp,Usopp,114
Charlotte_Linlin,Charlotte Linlin,Napoleon,Napoleon,111
Charlotte_Linlin,Charlotte Linlin,Monkey_D._Luffy,Monkey D. Luffy,110
Nefertari_Vivi,Nefertari Vivi,Roronoa_Zoro,Roronoa Zoro,110
Donquixote_Doflamingo,Donquixote Doflamingo,Monkey_D._Luffy,Monkey D. Luffy,108
Kin'emon,Kin'emon,Nami,Nami,108
Monkey_D._Luffy,Monkey D. Luffy,Rob_Lucci,Rob Lucci,108
Carrot,Carrot,Monkey_D._Luffy,Monkey D. Luffy,107
Carrot,Carrot,Nami,Nami,107
Nefertari_Vivi,Nefertari Vivi,Sanji,Sanji,107
Kin'emon,Kin'emon,Sanji,Sanji,106
Kin'emon,Kin'emon,Tony_Tony_Chopper,Tony Tony Chopper,105
Brook,Brook,Kin'emon,Kin'emon,104
Charlotte_Linlin,Charlotte Linlin,Nami,Nami,104
Kouzuki_Momonosuke,Kouzuki Momonosuke,Tony_Tony_Chopper,Tony Tony Chopper,103
Kouzuki_Momonosuke,Kouzuki Momonosuke,Roronoa_Zoro,Roronoa Zoro,102
Kouzuki_Momonosuke,Kouzuki Momonosuke,Nami,Nami,101
Monkey_D._Luffy,Monkey D. Luffy,Portgas_D._Ace,Portgas D. Ace,101
Buggy,Buggy,Monkey_D._Luffy,Monkey D. Luffy,100
Carrot,Carrot,Tony_Tony_Chopper,Tony Tony Chopper,100
Nami,Nami,Rob_Lucci,Rob Lucci,99
Kouzuki_Momonosuke,Kouzuki Momonosuke,Sanji,Sanji,97
Charlotte_Linlin,Charlotte Linlin,Sanji,Sanji,96
Charlotte_Linlin,Charlotte Linlin,Tony_Tony_Chopper,Tony Tony Chopper,95
Brook,Brook,Kouzuki_Momonosuke,Kouzuki Momonosuke,93
Rob_Lucci,Rob Lucci,Tony_Tony_Chopper,Tony Tony Chopper,92
Brook,Brook,Charlotte_Linlin,Charlotte Linlin,91
Carrot,Carrot,Sanji,Sanji,91
Brook,Brook,Carrot,Carrot,90
Caesar_Clown,Caesar Clown,Sanji,Sanji,89
Kaku,Kaku,Monkey_D._Luffy,Monkey D. Luffy,89
Rob_Lucci,Rob Lucci,Roronoa_Zoro,Roronoa Zoro,89
Franky,Franky,Rob_Lucci,Rob Lucci,88
Kouzuki_Momonosuke,Kouzuki Momonosuke,Usopp,Usopp,88
Monkey_D._Luffy,Monkey D. Luffy,Napoleon,Napoleon,88
Rob_Lucci,Rob Lucci,Sanji,Sanji,88
Rob_Lucci,Rob Lucci,Usopp,Usopp,87
Caesar_Clown,Caesar Clown,Monkey_D._Luffy,Monkey D. Luffy,86
Caesar_Clown,Caesar Clown,Nami,Nami,86
Kaku,Kaku,Rob_Lucci,Rob Lucci,86
Kin'emon,Kin'emon,Kouzuki_Momonosuke,Kouzuki Momonosuke,86
Nico_Robin,Nico Robin,Rob_Lucci,Rob Lucci,86
Crocodile,Crocodile,Monkey_D._Luffy,Monkey D. Luffy,85
Kouzuki_Momonosuke,Kouzuki Momonosuke,Nico_Robin,Nico Robin,85
Monkey_D._Luffy,Monkey D. Luffy,Smoker,Smoker,85
Nami,Nami,Napoleon,Napoleon,85
Kaku,Kaku,Nami,Nami,84
Hattori,Hattori,Rob_Lucci,Rob Lucci,83
Nefertari_Vivi,Nefertari Vivi,Tony_Tony_Chopper,Tony Tony Chopper,82
Franky,Franky,Kouzuki_Momonosuke,Kouzuki Momonosuke,81
Caesar_Clown,Caesar Clown,Tony_Tony_Chopper,Tony Tony Chopper,80
Napoleon,Napoleon,Sanji,Sanji,80
Eustass_Kid,Eustass Kid,Monkey_D._Luffy,Monkey D. Luffy,79
Hatchan,Hatchan,Nami,Nami,78
Hatchan,Hatchan,Sanji,Sanji,78
Hattori,Hattori,Monkey_D._Luffy,Monkey D. Luffy,78
Kaku,Kaku,Tony_Tony_Chopper,Tony Tony Chopper,78
Brook,Brook,Caesar_Clown,Caesar Clown,77
Donquixote_Doflamingo,Donquixote Doflamingo,Trafalgar_D._Water_Law,Trafalgar D. Water Law,77
Hatchan,Hatchan,Monkey_D._Luffy,Monkey D. Luffy,77
Napoleon,Napoleon,Tony_Tony_Chopper,Tony Tony Chopper,77
Donquixote_Doflamingo,Donquixote Doflamingo,Usopp,Usopp,76
